"","sex0","agesex","ageca","age0","cpthalach","cpexang","cp0","thalachage","thalachexang","thalach0","exang0","oldpeak0","slopethalach","slopeoldpeak","slopethal","ca0","thalsex","thalexang","thal0","labelcp","labelthalach","labeloldpeak","labelca","labelthal","lp__"
"1",-1.62845111825058,1.27063939965363,-0.968652091747836,-1.3793990796572,-0.130251287892791,-1.53316113350127,1.33270871575706,0.148416281878704,1.27818274213043,0.838823000090243,-1.29677856131892,1.79830002164406,0.28326665625548,-0.738526319884201,-1.08767712019302,-0.181131921502907,0.0557095021311204,0.0186415265621996,1.68247196100557,-1.60114899534457,-1.57075539006732,0.0389804333522412,-1.03843660332323,0.985348491483508,-10592758634544.6
"2",-1.62845111825074,1.27063939965381,-0.968652091748249,-1.37939907965842,-0.130251287892949,-1.53316113350061,1.33270871575735,0.148416059784425,1.27818274213084,0.838823000089696,-1.2967785613192,1.79830002164454,0.283266656255315,-0.738526319884674,-1.08767712019246,-0.181131921503211,0.0557095021314048,0.0186415265619987,1.68247196100659,-1.60114899534377,-1.57075539006746,0.0389804333523091,-1.03843660332376,0.985348491484695,-10592316298251.2
"3",-1.6284511182504,1.27063939965376,-0.96865209174824,-1.37939907965835,-0.130251287893193,-1.5331611335003,1.33270871575735,0.148416004263233,1.27818274213048,0.838823000089942,-1.2967785613192,1.79830002164426,0.283266656255184,-0.738526319884157,-1.0876771201924,-0.181131921503537,0.0557095021315114,0.0186415265620109,1.6824719610065,-1.60114899534362,-1.5707553900676,0.0389804333518852,-1.0384366033236,0.985348491484742,-10592205721815.9
"4",-1.62845111824585,1.27063939964584,-0.968652091755636,-1.37939907994934,-0.130251287892404,-1.5331611335058,1.33270871576,0.148359250267536,1.27818274213756,0.838823000081423,-1.29677856132343,1.79830002163537,0.283266656259644,-0.738526319882643,-1.0876771201939,-0.181131921510363,0.055709502120567,0.0186415265696572,1.68247196100964,-1.60114899534443,-1.57075539006831,0.0389804333521634,-1.03843660330362,0.98534849147806,-10479777877697.8
"5",-1.62845111824613,1.27063939964526,-0.968652091756496,-1.37939907995024,-0.130251287892659,-1.53316113350588,1.33270871576017,0.148359030551935,1.27818274213751,0.838823000080961,-1.29677856132316,1.79830002163532,0.283266656259634,-0.7385263198834,-1.08767712019441,-0.181131921510988,0.0557095021203343,0.0186415265699741,1.68247196101009,-1.60114899534422,-1.57075539006765,0.0389804333520318,-1.03843660330308,0.985348491478829,-10479344964229.3
"6",-1.62845111824517,1.2706393996439,-0.968652091755861,-1.37939907995542,-0.130251287891589,-1.5331611335036,1.33270871576146,0.148358151771719,1.27818274213564,0.838823000081263,-1.29677856132077,1.79830002163531,0.283266656258176,-0.738526319884708,-1.08767712019512,-0.181131921510871,0.0557095021235645,0.0186415265709815,1.68247196101105,-1.60114899534388,-1.57075539006913,0.0389804333523612,-1.03843660330367,0.985348491480329,-10477613651770.1
"7",-1.62845111824316,1.27063939964413,-0.968652091755733,-1.3793990799587,-0.130251287890731,-1.53316113350152,1.33270871576326,0.148357273120539,1.27818274213484,0.838823000081267,-1.29677856132154,1.79830002163643,0.2832666562585,-0.738526319885352,-1.08767712019481,-0.181131921510578,0.0557095021247367,0.0186415265713806,1.68247196101058,-1.60114899534394,-1.57075539006714,0.0389804333539209,-1.03843660330561,0.98534849148099,-10475882880629
"8",-1.62845111824342,1.27063939964433,-0.968652091755492,-1.37939907995898,-0.130251287890617,-1.53316113350157,1.33270871576359,0.148357218210356,1.27818274213499,0.838823000081238,-1.2967785613216,1.79830002163647,0.283266656258891,-0.738526319885819,-1.08767712019493,-0.181131921510591,0.0557095021245402,0.0186415265711755,1.68247196101098,-1.60114899534411,-1.57075539006736,0.0389804333538448,-1.03843660330544,0.985348491480783,-10475774727825.6
"9",-1.62845111824321,1.2706393996443,-0.968652091755152,-1.37939907995904,-0.130251287890532,-1.5331611335016,1.3327087157633,0.148357163305838,1.27818274213502,0.838823000081074,-1.29677856132195,1.79830002163587,0.283266656258952,-0.738526319885883,-1.08767712019492,-0.18113192151075,0.0557095021247503,0.0186415265713842,1.68247196101106,-1.60114899534349,-1.57075539006778,0.0389804333539118,-1.03843660330529,0.985348491480925,-10475666587303
"10",-1.62845111824274,1.27063939964425,-0.968652091755415,-1.37939907996031,-0.130251287890746,-1.53316113350139,1.33270871576318,0.148356943697153,1.27818274213436,0.838823000080404,-1.29677856132217,1.79830002163551,0.283266656258943,-0.738526319886121,-1.08767712019504,-0.18113192151063,0.055709502125645,0.0186415265715848,1.68247196101042,-1.60114899534352,-1.57075539006828,0.0389804333530675,-1.03843660330543,0.985348491480257,-10475234054899.3
"11",-1.6284511182402,1.27063939964657,-0.968652091756993,-1.37939907998128,-0.130251287891171,-1.53316113350188,1.33270871576348,0.148353430073006,1.27818274213007,0.838823000080261,-1.29677856131977,1.79830002163838,0.283266656260983,-0.738526319885768,-1.08767712019694,-0.181131921513661,0.0557095021280655,0.0186415265727129,1.68247196101047,-1.60114899534445,-1.57075539006779,0.0389804333498102,-1.03843660330771,0.985348491483544,-10468316200152.2
"12",-1.62845111824231,1.27063939965378,-0.968652091761838,-1.37939908006055,-0.130251287893208,-1.53316113350044,1.33270871576017,0.148339389306311,1.278182742127,0.838823000088299,-1.29677856132352,1.79830002164279,0.283266656262356,-0.738526319889733,-1.08767712019582,-0.181131921510203,0.0557095021218059,0.0186415265680494,1.68247196100733,-1.60114899534047,-1.57075539006323,0.0389804333510504,-1.03843660330578,0.985348491484493,-10440717565551
"13",-1.62845111825287,1.27063939964518,-0.968652091771671,-1.37939908127876,-0.130251287907919,-1.53316113349596,1.3327087157705,0.148116796897632,1.2781827421542,0.838823000105928,-1.2967785613083,1.79830002162374,0.283266656266946,-0.738526319890621,-1.08767712021986,-0.181131921486865,0.0557095021356464,0.0186415265802145,1.68247196099716,-1.60114899535012,-1.57075539003665,0.0389804333455268,-1.03843660331607,0.985348491478211,-10012818960607.8
"14",-1.62845111825289,1.27063939964478,-0.968652091771852,-1.37939908128042,-0.13025128790775,-1.53316113349611,1.33270871577115,0.148116587002124,1.27818274215475,0.838823000105652,-1.29677856130883,1.79830002162382,0.283266656266641,-0.738526319890731,-1.08767712021984,-0.181131921486452,0.0557095021366917,0.0186415265801386,1.68247196099633,-1.60114899534979,-1.57075539003606,0.0389804333449446,-1.03843660331618,0.985348491478766,-10012423893368.9
"15",-1.62845111825314,1.27063939964483,-0.968652091771011,-1.37939908128175,-0.130251287907901,-1.53316113349682,1.33270871577077,0.148116377128658,1.2781827421556,0.838823000105948,-1.29677856130866,1.79830002162331,0.283266656265561,-0.738526319890558,-1.08767712021978,-0.181131921485836,0.0557095021373583,0.018641526579913,1.68247196099626,-1.60114899534927,-1.57075539003536,0.0389804333458659,-1.0384366033168,0.985348491479845,-10012028883268.4
"16",-1.62845111825276,1.27063939964579,-0.968652091770589,-1.37939908128329,-0.130251287907965,-1.53316113349632,1.33270871577096,0.148116167249366,1.27818274215572,0.838823000105857,-1.2967785613085,1.79830002162313,0.283266656264744,-0.738526319890906,-1.08767712021995,-0.18113192148488,0.0557095021376917,0.0186415265792397,1.68247196099619,-1.60114899534928,-1.57075539003543,0.038980433345002,-1.03843660331684,0.985348491479693,-10011633877845.4
"17",-1.62845111825138,1.27063939964402,-0.968652091771416,-1.37939908129901,-0.130251287910443,-1.53316113349616,1.33270871577233,0.148112809677042,1.27818274215458,0.838823000106577,-1.29677856131114,1.79830002162369,0.283266656264315,-0.738526319892564,-1.08767712021608,-0.181131921481116,0.055709502137856,0.0186415265803411,1.68247196099484,-1.60114899534404,-1.5707553900369,0.0389804333472439,-1.03843660331912,0.985348491476678,-10005316851993.3
"18",-1.62845111825122,1.27063939964436,-0.968652091771315,-1.37939908129902,-0.13025128791081,-1.53316113349615,1.33270871577275,0.148112757243135,1.27818274215461,0.838823000106739,-1.29677856131125,1.79830002162398,0.283266656263779,-0.738526319892329,-1.08767712021625,-0.181131921481061,0.0557095021377214,0.0186415265800804,1.68247196099514,-1.60114899534371,-1.5707553900369,0.03898043334702,-1.03843660331906,0.98534849147689,-10005218233186.8
"19",-1.62845111825135,1.27063939964407,-0.968652091770137,-1.37939908130033,-0.130251287911145,-1.53316113349595,1.33270871577147,0.148112547533676,1.27818274215482,0.83882300010686,-1.29677856131194,1.79830002162427,0.283266656262909,-0.738526319892143,-1.08767712021616,-0.181131921481035,0.055709502138055,0.0186415265797412,1.68247196099534,-1.60114899534323,-1.57075539003767,0.0389804333474449,-1.03843660331901,0.985348491477091,-10004823816925
"20",-1.62845111825122,1.27063939964434,-0.968652091769526,-1.37939908130157,-0.130251287910905,-1.53316113349578,1.33270871577161,0.148112337817975,1.27818274215432,0.838823000106652,-1.29677856131158,1.79830002162407,0.283266656262885,-0.738526319891759,-1.08767712021586,-0.181131921481814,0.0557095021386245,0.0186415265797917,1.68247196099606,-1.60114899534308,-1.570755390038,0.0389804333476404,-1.03843660331851,0.985348491477151,-10004429404534.5
"21",-1.62845111825163,1.27063939964423,-0.968652091769502,-1.37939908130191,-0.130251287910614,-1.53316113349575,1.33270871577169,0.148112285392023,1.2781827421542,0.838823000106777,-1.29677856131164,1.79830002162394,0.283266656262682,-0.73852631989199,-1.08767712021536,-0.181131921481719,0.0557095021387764,0.018641526579921,1.68247196099631,-1.60114899534301,-1.57075539003825,0.0389804333475938,-1.03843660331851,0.98534849147734,-10004330809466.4
"22",-1.62845111825171,1.27063939964393,-0.968652091769245,-1.37939908130222,-0.130251287910586,-1.53316113349577,1.3327087157718,0.148112232973677,1.27818274215414,0.838823000106679,-1.29677856131176,1.79830002162391,0.283266656262871,-0.738526319892068,-1.08767712021555,-0.181131921481707,0.0557095021388333,0.0186415265800183,1.6824719609958,-1.60114899534312,-1.57075539003897,0.0389804333473359,-1.03843660331778,0.985348491477128,-10004232229678.5
